Name,Team,POS,ADP,IP,mERA,mWHIP,mSO,mQS,mSVHLD,PTS,aPOS,Dollars,PlayerId
"Ryan Pressly","HOU","RP",54.099998474121094,62,3.953310009159852,1.8397601204614273,-5.834338128221204,-5.753388976757579,11.707793289716632,5.913136314359127,11.882027289707361,18.795163604066488,"7005"
"Nick Lodolo","CIN","SP",124.93000030517578,175.623,-3.976071793249093,-3.1125801400889914,8.599828012670141,6.98214256050471,-5.6090416211510945,2.8842770186856717,14.737972710292768,18.62224972897844,"26378"
"Luis Severino","NYY","SP",106.86000061035156,144.973,-0.8717433492034438,0.7876847170194795,3.695016286393202,4.426583437496578,-5.6090416211510945,2.4284994705547214,14.737972710292768,18.16647218084749,"15890"
"Felix Bautista","BAL","RP",62.34000015258789,66,3.8857632763913554,0.556943530239493,-4.255881772831211,-5.753388976757579,10.568677982311872,5.002114039353929,11.882027289707361,17.884141329061286,"20666"
"Joe Musgrove","SDP","SP",77.0999984741211,194.217,-6.472248718320786,-0.8523110615716382,6.699162319544627,8.220996852826598,-5.6090416211510945,1.9865577713277076,14.737972710292768,17.724530481620477,"12970"
"Dylan Cease","CHW","SP",38.029998779296875,187.576,-5.730306179496223,-5.227071473118457,10.673889674609478,7.44962497051407,-5.6090416211510945,1.5570953713577769,14.737972710292768,17.295068081650545,"18525"
"Raisel Iglesias","ATL","RP",53.16999816894531,66,0.773911626371065,2.4140399799330945,-5.259105616926082,-5.753388976757579,11.262840599010977,3.438297611631474,11.882027289707361,16.320324901338832,"17130"
"George Kirby","SEA","SP",96.13999938964844,142.759,-1.5359935938209728,2.282356325715287,1.0920136619770295,4.086803581848347,-5.6090416211510945,0.31613835456859646,14.737972710292768,16.054111064861367,"25436"
"Jordan Romano","TOR","RP",45.16999816894531,66,1.364897440709716,0.13066367156904243,-5.212814068107795,-5.753388976757579,11.962312187041675,2.4916702544550615,11.882027289707361,15.373697544162422,"16122"
"Max Fried","ATL","SP",67.69000244140625,189.535,-1.8821567559440846,-6.499589176786675,5.004225245857321,8.414333697888239,-5.6090416211510945,-0.5722286101362944,14.737972710292768,15.165744100156475,"13743"
"Devin Williams","MIL","RP",48.34000015258789,65,4.009874921404409,-0.9780356072301268,-4.531339647121658,-5.753388976757579,9.466004214732614,2.2131149050276586,11.882027289707361,15.09514219473502,"15816"
