Name,Team,POS,ADP,IP,mERA,mWHIP,mSO,mQS,mSVHLD,PTS,aPOS,Dollars,PlayerId
"Hector Neris","HOU","RP",619,63.5193,-0.1877470700347717,-0.29352243097000597,-4.323384663102192,-5.2899360697441855,3.4591266045055384,-6.635463629345615,10.760194072008058,5.124730442662442,"11804"
"Daniel Hudson","LAD","RP",294.57000732421875,51.6028,-0.9439535654204789,0.04206964504968469,-6.015197900139089,-5.2899360697441855,5.504581963172463,-6.702435927081606,10.760194072008058,5.057758144926452,"7146"
"Frankie Montas","NYY","SP",285.2699890136719,118.937,-5.798870146649494,-4.81768429190903,-0.09928181835418617,4.122018606814673,-5.338784550913038,-11.932602201011077,15.859805927991813,4.927203726980737,"14309"
"Joe Jimenez","ATL","RP",602.1699829101562,58.6436,-0.4997607219557181,0.021809845374858482,-4.660588069314064,-5.2899360697441855,3.2961699050643287,-7.13230511057478,10.760194072008058,4.627888961433277,"15761"
"Camilo Doval","SFG","RP",76.87000274658203,66.1455,1.274595914453689,-7.7524570584263115,-4.674750139381722,-5.2899360697441855,9.128135617542894,-7.314411735555636,10.760194072008058,4.445782336452421,"21992"
"Bryan Abreu","HOU","RP",489.2699890136719,62.381,1.9802681921187426,-4.27431380357196,-4.043024442996843,-5.2899360697441855,4.281450398704691,-7.345555725489554,10.760194072008058,4.414638346518505,"16609"
"Lance Lynn","CHW","SP",131.89999389648438,165.851,-13.04737943281693,-5.441877438362026,4.422407986572253,6.873838316551635,-5.338784550913038,-12.531795118968107,15.859805927991813,4.328010809023705,"2520"
"Logan Webb","SFG","SP",111,188.23,-3.3011874648912793,-15.204738997926048,3.783673019645424,7.525864385346201,-5.338784550913038,-12.535173608738738,15.859805927991813,4.324632319253073,"17995"
"Nick Lodolo","CIN","SP",125.37000274658203,153.436,-8.26656121408322,-10.184488182505522,5.904507844971383,5.239722919561905,-5.338784550913038,-12.645603182968497,15.859805927991813,4.214202745023316,"26378"
"Colin Poche","TBR","RP",722.1300048828125,52.1375,0.6479371671994009,1.0708562424047572,-6.107950243869078,-5.2899360697441855,2.044387608811397,-7.634705295197708,10.760194072008058,4.12548877681035,"19403"
"Craig Kimbrel","PHI","RP",278.79998779296875,57.9213,-1.6230314350287558,-1.8917509225252844,-4.951609393991248,-5.2899360697441855,5.963495079913971,-7.7928327413754985,10.760194072008058,3.967361330632558,"6655"
"Joe Kelly","CHW","RP",724.4299926757812,55.5606,2.6209839142793885,-2.44641554045053,-5.920114025928652,-5.225842019500966,2.7554265900330495,-8.215961081567713,10.760194072008058,3.5442329904403462,"9761"
"Jordan Hicks","STL","SP/RP",676.4000244140625,57.9245,1.7777640807397042,-5.5739012671658426,-6.636010500724971,-4.823221971131707,1.7582834308053867,-13.497086227477428,15.859805927991813,3.3627197005143845,"19618"
"David Robertson","NYM","RP",482.4700012207031,61.7354,0.5829012844605135,-3.0849138833930168,-4.582457740804222,-5.286858519849592,3.633443123281935,-8.737885736304383,10.760194072008058,3.0223083357036757,"8241"
"Clay Holmes","NYY","RP",100,62.421,0.5131107012875152,-7.0466854780112085,-5.792504119032886,-5.2899360697441855,8.813933467126814,-8.80208149837395,10.760194072008058,2.958112573634108,"13649"
