Name,Team,POS,ADP,IP,mERA,mWHIP,mSO,mSVHLD,PTS,aPOS,Dollars,PlayerId
Felix Bautista,BAL,RP,62.34000015258789,65.2,3.2292687902998027,3.1795269906182626,-1.92178782541469,6.65773063906405,11.144738594567416,5.097227315114666,17.241965909682083,20666
Andres Munoz,SEA,RP,146.33999633789062,65,1.3615183383059157,4.659734348097191,-1.10291684787448,5.80508637383763,10.723422212366254,5.097227315114666,16.820649527480917,20373
Brandon Woodruff,MIL,SP,34.40999984741211,153.1,-5.499950767905905,-3.5315423760453446,8.51881713822307,-5.27928907410586,-5.791965079834037,21.52277268204318,16.730807602209147,16162
Drew Rasmussen,TBR,SP,172.86000061035156,146,-1.9912922203601515,-1.0400366569761792,1.8654904457088,-5.27928907410586,-6.4451275057333755,21.52277268204318,16.077645176309808,25385
Anthony Bass,TOR,RP,744.2100219726562,70.1,8.188884935084946,0.5498625132189463,-3.4571709083026,4.52611997599799,9.807696515999286,5.097227315114666,15.90492383111395,7982
Alexis Diaz,CIN,RP,130.24000549316406,63.2,5.405238911117981,2.0908580373266066,-2.43358218637733,4.52611997599799,9.58863473806525,5.097227315114666,15.685862053179916,21132
Joe Musgrove,SDP,SP,77.0999984741211,181,-4.2571626866848264,-5.294694692096259,7.9046639050679,-5.27928907410586,-6.926482547819034,21.52277268204318,15.596290134224148,12970
Scott Barlow,KCR,RP,115.06999969482422,74.1,3.836946768835764,1.1381317734771987,-3.0477354195325,7.51037490429047,9.43771802707094,5.097227315114666,15.534945342185605,14993
Rafael Montero,HOU,RP,359.30999755859375,68.1,2.20479588162217,-0.009117583456085283,-3.4571709083026,10.4946298325829,9.233137222446429,5.097227315114666,15.330364537561092,12760
Matt Wisler,,SP/RP,999,44,1.9957021170707343,0.6443615988306908,-7.34680805161863,-2.72135627842659,-7.428100614143795,21.52277268204318,15.094672067899387,12804
Raisel Iglesias,ATL,RP,53.16999816894531,62,1.452116020986604,1.9673459372632756,-2.94537654733996,8.36301916951689,8.837104580426804,5.097227315114666,14.934331895541467,17130
John Schreiber,BOS,RP,533.280029296875,65,3.174864590880887,1.48158874954628,-3.35481203611008,7.51037490429047,8.812016208607563,5.097227315114666,14.909243523722226,20020
Luis Severino,NYY,SP,106.86000061035156,102,-4.893667463718324,1.4937473427439703,0.534825107205954,-5.27928907410586,-8.144384087874254,21.52277268204318,14.378388594168928,15890
Luis Castillo,SEA,SP,60.619998931884766,150.1,-4.502679958937732,-4.634857987603817,6.16456307779495,-5.27928907410586,-8.252263942852458,21.52277268204318,14.270508739190724,15689
Ross Stripling,SFG,SP,300.1000061035156,134.1,-4.321716693403224,0.42773803464863486,0.432466235013427,-4.85296694149265,-8.314479365233804,21.52277268204318,14.208293316809382,13273
Garrett Whitlock,BOS,SP,296.1700134277344,78.1,-5.95503015513833,0.13732823445999492,-2.53594105856986,-1.01606774797374,-9.369710727221937,21.52277268204318,13.153061954821244,20191
Liam Hendriks,CHW,RP,446.2799987792969,57.2,-0.7602776075330399,-0.6454641188821331,-2.22886444199228,10.4946298325829,6.860023664175495,5.097227315114666,12.95725097929016,3548
Erik Swanson,TOR,RP,514.280029296875,53.2,5.405006811291114,3.003794085594163,-3.76424752488019,1.96818718031873,6.612740552323823,5.097227315114666,12.709967867438488,16587
Adam Ottavino,NYM,RP,670.9000244140625,65.2,4.135941916587288,1.590454191342807,-2.84301767514744,3.67347571077157,6.556854143554227,5.097227315114666,12.654081458668893,1247
Ryan Pressly,HOU,RP,54.099998474121094,48.1,-1.4223608231815048,3.405827312354477,-4.27604188584281,8.78934130213007,6.496765905460256,5.097227315114666,12.593993220574923,7005
